0,39.9276,116.4708
10,39.9273,116.4709
39,39.9270,116.4716
67,39.9275,116.4724
97,39.9282,116.4723
125,39.9293,116.4722
202,39.9310,116.4725
204,39.9308,116.4718
213,39.9312,116.4726
290,39.9326,116.4729
292,39.9325,116.4721
306,39.9328,116.4672
335,39.9328,116.4625
337,39.9396,116.4775
339,39.9620,116.4563
342,39.9338,116.4566
345,39.9334,116.4572
347,39.8652,116.4442
353,39.9517,116.4492
363,39.9334,116.4558
383,39.9416,116.4560
385,39.9555,116.4824
391,39.9565,116.4813
393,39.9018,116.5068
395,39.9152,116.4879
397,39.8999,116.4840
399,39.8994,116.4847
407,39.9055,116.4762
409,39.9677,116.4092
421,39.9672,116.4056
435,39.9675,116.3951
451,39.9669,116.3893
453,39.9672,116.3872
479,39.9667,116.3809
497,39.9670,116.3784
523,39.9667,116.3595
588,39.9660,116.3234
624,39.9657,116.3204
658,39.9659,116.3174
680,39.9660,116.3152
758,39.9755,116.3112
788,39.9818,116.3104
825,39.9815,116.3105
846,39.9813,116.3100
856,39.9809,116.3109
879,39.9808,116.3102
883,39.9820,116.3113
886,39.9809,116.3105
915,39.9812,116.3102
948,39.9823,116.3112
980,39.9824,116.3112
1079,39.9798,116.3113
1100,39.9793,116.3106
1145,39.9786,116.3096
1278,39.9804,116.3064
1344,39.9799,116.3063
1359,39.9803,116.3062
1410,39.9811,116.3069
1508,39.9810,116.3103
1568,39.9795,116.3100
1594,39.9809,116.3053
1681,39.9810,116.3080
1706,39.9811,116.3089
1756,39.9812,116.3103
1829,39.9789,116.3104
1936,39.9755,116.3113
1974,39.9746,116.3122
2000,39.9754,116.3185
2005,39.9749,116.3187
2037,39.9751,116.3269
2081,39.9750,116.3421
2107,39.9728,116.3425
2118,39.9720,116.3448
2210,39.9671,116.3446
2245,39.9673,116.3452
2284,39.9673,116.3451
2399,39.9671,116.3454
2423,39.9669,116.3454
2468,39.9662,116.3435
2486,39.9663,116.3525
2508,39.9664,116.3596
2569,39.9670,116.3825
2573,39.9673,116.3841
2577,39.9672,116.3838
2600,39.9673,116.3956
2628,39.9676,116.4073
2640,39.9678,116.4299
2652,39.9658,116.4339
2672,39.9592,116.4440
2674,39.9666,116.4414
2676,39.9587,116.4456
2724,39.9516,116.4548
2726,39.9497,116.4553
2839,39.9327,116.4554
2900,39.9320,116.4659
2913,39.9321,116.4673
2923,39.9328,116.4703
2937,39.9325,116.4707
2949,39.9334,116.4703
2968,39.9323,116.4717
3051,39.9298,116.4721
3106,39.9270,116.4720
3149,39.9274,116.4709
